Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	Remarks
"05/08/08"	"C152"	"N46953"	"FCM-FCM"	0.9	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	"Lesson 1"
"05/14/08"	"C152"	"N46953"	"FCM-FCM"	1.1	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	"Lesson 2"
"05/16/08"	"C152"	"N46953"	"FCM-FCM"	0.9	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	"Lesson 3"
"05/21/08"	"C152"	"N46953"	"FCM-FCM"	1.1	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	"Lesson 4"
"05/23/08"	"C152"	"N46953"	"FCM-FCM"	1.3	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	"Lesson 5"
"06/10/08"	"C152"	"N67973"	"FCM-FCM"	0.9	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	"Lesson 6"
"06/16/08"	"C152"	"N67973"	"FCM-FCM"	0.8	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	"Lesson 8"
"06/18/08"	"C152"	"N46953"	"FCM-FCM"	1.1	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	"Lesson 7"
"06/23/08"	"C152"	"N46953"	"FCM-FCM"	1.2	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	"Lesson 9"
"06/25/08"	"C152"	"N46953"	"FCM-FCM"	1.4	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	"Lesson 10"
"07/09/08"	"C152"	"N46953"	"FCM-FCM"	1.0	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	"Lesson 10 - Landings"
"07/15/08"	"C152"	"N67973"	"FCM-FCM"	0.8	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	"Lesson 10 - Landings"
"07/17/08"	"C152"	"N67973"	"FCM-FCM"	1.0	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	"Lesson 10 - Landings"
"07/18/08"	"C152"	"N67973"	"FCM-FCM"	1.2	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	"Lesson 10 - Landings"
"07/22/08"	"C152"	"N46953"	"FCM-FCM"	0.9	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	"Lesson 10 - Landings"
"07/29/08"	"C152"	"N46953"	"FCM-FCM"	1.2	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	"Stage Check Level 1"
"08/04/08"	"C152"	"N46953"	"FCM-FCM"	0.7	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	"First Solo Flight - Dual Portion"
"08/04/08"	"C152"	"N46953"	"FCM-FCM"	0.6	3	0	0.0	0.0	0	0.0	0.0	0.0	0.6	0.6	0.0	0.0	0.0	"First Solo Flight - PIC portion"
"08/05/08"	"C152"	"N46953"	"FCM-FCM"	0.8	1	0	0.0	0.0	0	0.0	0.0	0.0	0.8	0.8	0.0	0.0	0.0	"Solo Flight To Practice Area"
