Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	Remarks
"06/08/09"	"C172R"	"N448ER"	"PIE-PIE"	1.0	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	"Intro flight, steep turns, landings, Clay Reynolds CFI"
"06/09/09"	"C172R"	"N448ER"	"PIE-BKV-PIE"	2.3	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0	"traffic pattern, power-off stalls, steep turns, pre-solo, Danny Dezeeuw CFI"
"06/10/09"	"C172R"	"N420ER"	"PIE-BKV-PIE"	1.8	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	"traffic pattern, steep turns, landings, Danny Dezeeuw, CFI"
"06/16/09"	"C172R"	"N420ER"	"PIE-PIE"	2.0	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	"steep turns, normal takeoff and landing, checklist usage, Ed Bagden CFI"
"06/18/09"	"C172R"	"N420ER"	"PIE-PIE"	2.0	9	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	"steep turns, slow flight, power-on, off stall, normal T/O & LDG, checklist usage, Ed Bagden CFI"
"06/19/09"	"C172R"	"N420ER"	"PIE-PIE"	2.0	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	"steep turns, power-off, on stall, slow flight, normal T/O&LDG, X/W T/O & LDG, Ed Bagden CFI"
"06/19/09"	"C172R"	"N420ER"	"PIE-PIE"	2.0	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	"steep turns, slow flight, power-on, off stall, normal T/O&LDG, X/W T/O&LDG Ed Bagden CFI"
"06/23/09"	"C172R"	"N919TA"	"PIE-BKV-PIE"	1.8	7	0	0.0	0.5	0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	"steep turns, unusual attitudes, X/C nav, X/W T/O&LDG, Ed Bagden CFI"
"06/24/09"	"C172R"	"N448ER"	"PIE-SPG-PIE"	1.9	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	"slow flight, power-off stall, T/O&LDG, radio comm, Ed Bagden CFI"
"07/03/09"	"C172R"	"N2098A"	"PIE-PIE"	2.0	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	"power-on, off stall, steep turns, slow flight, LDG, Danny Dezeeuw CFI"
"07/04/09"	"C172R"	"N2098A"	"PIE-PIE"	2.0	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	"power-on, off stall, steep turn, ground ref, LDG, Danny Dezeeuw CFI"
"07/08/09"	"C172R"	"N916TA"	"PIE-PIE"	1.4	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	"power-on, off stall, slow flight, steep turns, X/W LDG, Danny Dezeeuw CFI"
