Date	Plane	Type	Route	Total	PIC	Solo	SIC	Dual Received	Dual Given	Actual Instrument	Simulated Instrument	Approaches	Night	Cross Country	Day Landings	Night Landings	Simulator	Student	Instructor	Captain	First Officer	Flight Number	Remarks	Flying	Non-flying
1997-09-19	757cu	C152	lzu local	1.1				1.1							2										
1997-10-03	55393	C152	lzu local	1.0				1.0							2										
1997-10-10	55393	C152	lzu local	1.5				1.5							2										
1997-10-31	48239	c172	lzu local	1.0				1.0							2										
1997-11-07	757cu	C152	lzu local	1.0				1.0							4										
1997-11-19	757cu	C152	lzu local	1.2				1.2							4										
1997-11-26	757cu	C152	lzu local	1.3	0.7			0.6							6										
1997-12-15	757cu	C152	lzu local	1.5				1.5							6										
1997-12-19	757cu	C152	lzu local	2.1	1.1			1.0							2										
1998-01-26	48239	c172	lzu local	1.8				1.8					1.8			2									
1998-02-13	48239	c172	lzu pdk lzu	1.4				1.4							3										
1998-03-03	48239	c172	lzu wdr lzu	1.3				1.3							3										
1998-03-16	757cu	C152	lzu mcn mlj lzu	2.8				2.8						2.8	3										
1998-03-23	48239	c172	lzu local	1.2				1.2							3										
1998-03-30	55393	C152	lzu local	0.9				0.9							2										
1998-04-07	757cu	C152	lzu local	2.5				2.5							1										
1998-05-12	757cu	C152	lzu local	1.9				1.9							1										
1998-08-06	757cu	C152	lzu local	1.2				1.2							1										
1998-08-12	757cu	C152	lzu local	0.8				0.8							1										
1998-08-13	55393	C152	lzu local	0.9				0.9							1										
1998-09-15	48239	c172	lzu local	1.3				1.3							1										
1998-09-17	48239	c172	lzu local	1.0				1.0							1										
1998-12-07	149V	C152	lzu local	1.0				1.0							1										
2003-04-23	4974R	c172	mxf 08A mxf	1.2				1.2							2										
2003-06-24	4992R	c172	mxf local	1.6				1.6							5										
2003-06-26	4977R	c172	mxf 08A mxf	1.6				1.6							6										
2003-07-02	4989R	c172	mxf 08A mxf	1.4				1.4							7										
2003-07-07	4974R	c172	mxf 08A mxf	1.5				1.5							5										
2003-07-09	4977R	c172	mxf 08A mxf	1.4				1.4							5										
2003-07-11	4974R	c172	mxf 08A mxf	1.1				1.1							7										
2003-07-14	4974R	c172	mxf 08A mxf	1.5				1.5							6										
2003-07-16	4974R	c172	mxf local	1.6				1.6							6										
2003-07-17	4977R	c172	mxf 08A mxf	2.0	0.4			1.6							13										
2003-07-24	4977R	c172	mxf 08A mxf	2.7				2.7			0.7				6										
2003-07-25	4977R	c172	mxf 08A mxf	2.0				2.0			0.8				6										
2003-07-29	4974R	c172	mxf 08A mxf	1.5				1.5							11										
2003-07-30	4989R	c172	mxf local	0.7				0.7					0.7			4									
2003-09-09	138AA	C152	lzu local	1.4				1.4							2										
2003-09-11	138AA	C152	lzu wdr lzu	1.4				1.4							7										
2003-09-14	138AA	C152	lzu local	1.3	1.3										10										
2003-09-15	138AA	C152	lzu local	1.3	1.3										5										
2003-09-23	138AA	C152	lzu wdr lzu	1.6				1.6							4										
2003-09-24	138AA	C152	lzu 27a lzu	1.8				1.8						1.8	2										
2003-09-26	138AA	C152	lzu 27a lzu	2.1				2.1						2.1	2										
2003-09-29	172WA	c172	lzu wdr lzu	0.5	0.5										1										
2003-09-29	138AA	C152	wdr lzu	0.8	0.8										3										
2003-09-30	138AA	C152	lzu 3j7 19a lzu	1.8				1.8						1.8	3										
