Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	Remarks
3/5/2008	C172S	N9665A	RYY-RYY	0.9	1	0	0	0	0	0	0	0	0	0	0	0.9	0	"Taxi, Straight and Level, Turns"
4/16/2008	C172R	N9710F	FTY-FTY	1.4	1	0	0	0	0	0	0	0	0	0	0	1.4	0	"Steep Turns, Straight and Level, Power off stall, Turns"
4/18/2008	C172M	N8986V	FTY-CTJ-FTY	2.1	1	0	0	0	0	0	0	0	0	0	0	2.1	0	"Steep Turns, Power off stall, Landings, Navigation"
4/20/2008	C172R	N9710F	FTY-CTJ-FTY	2	4	0	0	0	0	0	0	0	0	0	0	2	0	"Steep Turns, Power on stalls, Power off stalls, Slow flight, Landings"
4/23/2008	C172R	N9577Z	FTY-CTJ-FTY	2.1	7	0	0	0	0	0	0	0	0	0	0	2.1	0	Traffic Pattern
4/24/2008	C172R	N9577Z	FTY-CTJ-FTY	1.4	5	0	0	0	0	0	0	0	0	0	0	1.4	0	Landings
4/30/2008	C172R	N9710F	FTY-CTJ-FTY	1.8	6	0	0	0	0	0	0	0	0	0	0	1.8	0	"Landings, Power off stalls, Steep Turns, Slow Flight"
5/4/2008	C172R	N9577Z	FTY-FTY	2	3	0	0	0	0	0	0	0	0	0	0	2	0	"Slow Flight, Power on stalls, Power off stalls, Steep Turns, Landings"
5/6/2008	C172M	N20676	FTY-CTJ-FTY	1.8	6	0	0	0	0	0	0	0	0	0	0	1.8	0	"Traffic Pattern, Landings"
5/8/2008	C172R	N997RA	FTY-FTY	1	1	0	0	0	0	0	0	0	0	0	0	1	0	"Power on stalls, Power off stalls, Steep turns, Slow flight"
5/10/2008	C172R	N997RA	FTY-FTY	1.1	6	0	0	0	0	0	0	0	0	0	0	1.1	0	Landings
5/14/2008	C172R	N420ER	FTY-CTJ-FTY	1.5	6	0	0	0.3	0	0	0	0	0	0	0	1.5	0	"Landings, Power off approaches, Soft-Field landings, Go-Arounds"
5/14/2008	C172R	N420ER	FTY-46A-FTY	3	2	0	0	2.8	0	0	0	0	0	0	0	3	0	"Reference to Instruments, Unsual Attitudes"
5/17/2008	C172R	N9710F	FTY-VPC-GAD-CTJ-FTY	3	7	0	0	0	0	0	0	3	0	0	0	3	0	"Dual Cross Country, Crosswind Landings"
5/19/2008	C172R	N9710F	FTY-CTJ	1.1	4	0	0	0	0	0	0	0	0	0	0	1.1	0	"Manuevers, Traffic Pattern"
5/19/2008	C172S	N976SP	CTJ-FTY	1.9	6	0	0	0	0	0	0	0	0.4	0.4	0	1.5	0	First Solo!!
5/19/2008	C172R	N2632Y	FTY-AHN-WDR-FTY	3	0	11	0	0	0	0	3	3	0	0	0	3	0	Night Flight
5/21/2008	C172R	N2632Y	FTY-VPC-GAD-CTJ-FTY	2.7	4	0	0	0	0	0	0	2.7	2.7	2.7	0	0	0	Solo Cross Country
5/22/2008	C172R	N2632Y	FTY-VPC-GAD-CTJ-FTY	2.9	4	0	0	0	0	0	0	2.9	2.9	2.9	0	0	0	Solo Cross Country
5/22/2008	C172S	N976SP	FTY-CTJ-FTY	1.8	6	0	0	0	0	0	0	0	1.8	1.8	0	0	0	Touch -n- Go's
5/25/2008	C172R	N9577Z	FTY-VPC-CTJ-FTY	2.4	5	0	0	0	0	0	0	0	2.4	2.4	0	0	0	"Touch -n- Go's, Steep Turns"
5/31/2008	C172R	N420ER	FTY-CTJ-FTY	3	8	0	0	0	0	0	0	0	0	0	0	3	0	PTS
5/31/2008	C172R	N420ER	FTY-FTY	1.1	3	0	0	0	0	0	0	0	0	1.1	0	0	0	Private Pilot Checkride
6/5/2008	C172R	N2746F	CRG-PFN	2.5	1	0	0.3	1.8	0	0	0	2.5	0	2.5	0	2.5	0	Intro to IFR
6/5/2008	C172R	N2746F	PFN-BTR	3.3	1	0	0.8	2.2	0	0	0	3.3	0	3.3	0	3.3	0	Intro to IFR
6/5/2008	C172R	N2746F	BTR-DWH	2.9	1	0	1	1.7	0	0	0	2.9	0	2.9	0	2.9	0	Intro to IFR
6/6/2008	C172S	N254SP	DWH-BTR	2.6	1	0	0.7	1.6	0	0	0	2.6	0	2.6	0	2.6	0	Intro to IFR
6/6/2008	C172S	N254SP	BTR-HDC	1	1	0	0.1	0.5	0	0	0	1	0	1	0	1	0	"Intro to IFR, Emergency Landing"
6/7/2008	C172S	N254SP	HDC-PFN	2.6	1	0	1	1.4	0	0	0	2.6	0	2.6	0	2.6	0	Intro to IFR
6/9/2008	C172S	N254SP	PFN-CRG	3.2	1	0	1.2	1.7	2	0	0	3.2	0	3.2	0	3.2	0	"Intro to IFR, ILS Missed Approach, VOR Approach"
6/15/2008	Frasca PA44	N247AT		0	0	0	0	0	0	50	0	0	0	0	0	0	0	Instrument Training
6/23/2008	C172R	N72653	FTY-JFX	1.8	1	0	0	1.8	1	0	0	1.8	0	1.8	0	1.8	0	"Intro to IFR, ILS Approach"
6/23/2008	C172R	N72653	JFX-MEI	1.3	1	0	0.2	1	0	0	0	1.3	0	1.3	0	1.3	0	Intro to IFR
6/23/2008	C172R	N72653	MEI-FTY	2.7	1	0	1	1.4	0	0	0	2.7	0	2.7	0	2.7	0	Intro to IFR
6/24/2008	C172M	N1443U	FTY-JFX	1.8	1	0	0.1	1.7	1	0	0	1.8	0	1.8	0	1.8	0	"Intro to IFR, ILS Approach"
6/24/2008	C172M	N1443U	JFX-FTY	1.6	1	0	0.1	1.5	0	0	0	1.6	0	1.6	0	1.6	0	Intro to IFR
6/25/2008	C172M	N1443U	FTY-CRG	3.2	1	0	0	2.9	0	0	0	3.2	0	3.2	0	3.2	0	Intro to IFR
6/26/2008	C172M	N1443U	CRG-FTY	3.2	1	0	1.1	1.7	0	0	0	3.2	0	3.2	0	3.2	0	Intro to IFR
6/27/2008	C172R	N72653	FTY-BWG	2.7	1	0	1.1	1.3	1	0	0	2.7	0	2.7	0	2.7	0	"Intro to IFR, ILS Approach, Circle to land"
6/27/2008	C172R	N72653	BWG-MDQ	2.3	3	0	1	1	0	0	0	2.3	0	2.3	0	2.3	0	"Intro to IFR, ILS Approach"
6/27/2008	C172R	N72653	MDQ-FTY	2	1	0	0.7	1	0	0	0	2	0	2	0	2	0	Intro to IFR
7/2/2008	PA44-180	N337EP	LZU-GVL-LZU	2	4	0	0	0	0	0	0	0	0	0	0	2	0	"Steep Turns, Slow Flight, Power On Stall, Power Off Stall, Vmc Demo"
7/3/2008	PA44-180	N337EP	LZU-LZU	1.7	6	0	0	0	0	0	0	0	0	0	0	1.7	0	"Steep Turns, Slow Flight, Power On Stall, Power Off Stall, Vmc Demo, Emergency Descent, Short Field Landings"
7/4/2008	PA44-180	N337EP	LZU-LZU	1.1	3	0	0	0	0	0	0	0	0	0	0	1.1	0	"Engine Failure During Cruise, Secure and Airstart"
7/6/2008	PA44-180	N337EP	LZU-MDQ	1.6	1	0	0	0	0	0	0	1.6	0	0	0	1.6	0	"Manuevers, X-C to Checkride"
7/6/2008	PA44-180	N337EP	MDQ-MDQ	0.9	3	0	0	0	0	0	0	0	0	0.9	0	0	0	Private Pilot Multi Engine Checkride
7/6/2008	PA44-180	N337EP	MDQ-LZU	1.6	1	0	0	0	0	0	0	1.6	0	1.6	0	1.6	0	Cross Country
7/15/2008	PA44-180	N2088K	LZU-PFN	2.3	1	0	0	0	0	0	0	2.3	0	2.3	0	2.3	0	VFR Cross Country
